"clu_pop2","type","count_clu","per","y"
"Northern slope","browning",468,99.36,2005
"Northern slope","no change",3,0.64,2005
"Southern slope","browning",350,79.37,2005
"Southern slope","greening",5,1.13,2005
"Southern slope","no change",86,19.5,2005
"Northern slope","browning",34,7.22,2012
"Northern slope","greening",15,3.18,2012
"Northern slope","no change",422,89.6,2012
"Southern slope","browning",128,29.02,2012
"Southern slope","greening",4,0.91,2012
"Southern slope","no change",309,70.07,2012
