date; prec
31/05/2009;6.6
30/06/2009;5.0
31/08/2009;3.8
30/11/2009;18.4
28/02/2010;214.6
30/04/2010;33.4
31/05/2010;11.0
30/06/2010;11.6
31/07/2010;3.4
31/08/2010;18.2
30/09/2010;25.2
31/10/2010;55.4
30/11/2010;131.4
31/12/2010;242.4
31/01/2011;33.4
28/02/2011;33.4
31/03/2011;86.4
31/08/2011;0.4
30/09/2011;13.2
31/10/2011;35.5
30/11/2011;35.6
31/12/2011;2.8
31/01/2012;11.4
29/02/2012;3.2
30/04/2012;38.2
31/05/2012;6.6
30/06/2012;6.8
31/07/2012;0.0
31/08/2012;1.4
30/09/2012;50.2
31/10/2012;111.8
31/12/2012;4.8
31/01/2013;41.4
28/02/2013;21.0
31/03/2013;131.6
30/04/2013;37.2
31/05/2013;26.2
31/07/2013;0.2
30/09/2013;31.2
31/10/2013;3.2
30/11/2013;32.0
31/12/2013;51.0
28/02/2014;53.0
31/05/2014;10.4
30/06/2014;56.6
31/07/2014;0.0
31/08/2014;0.2
30/09/2014;62.2
31/10/2014;20.4
30/11/2014;95.6
31/12/2014;12.8
31/01/2015;15.6
28/02/2015;45.2
31/03/2015;132.0
30/04/2015;33.2
31/05/2015;11.8
30/06/2015;20.8
31/07/2015;1.4
31/08/2015;0.0
30/09/2015;40.0
31/10/2015;72.8
30/11/2015;51.0
31/12/2015;0.0
31/01/2016;15.8
29/02/2016;18.6
31/03/2016;9.2
30/04/2016;56.6
30/06/2016;0.0
31/07/2016;2.6
31/08/2016;1.8
30/09/2016;5.8
30/11/2016;139.8
31/12/2016;128.8
31/01/2017;21.4
30/04/2017;27.2
31/05/2017;2.6
30/06/2017;0.0
31/07/2017;1.4
31/08/2017;14.6
