"years","CA01","CA02","CA03","CA04","CA05","CA06","CA07","CA08","CA09","CA10","CA26","CA27","CA28","CA29","CA30"
1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,NA,NA,NA,NA,0.280269058295964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876,NA,NA,NA,NA,0.26634382566586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43121693121693,NA
1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43121693121693,NA
1888,NA,NA,NA,NA,0.418181818181818,NA,NA,NA,NA,NA,NA,NA,NA,1.43121693121693,NA
1889,NA,NA,NA,0.323529411764706,0.436363636363636,NA,NA,NA,NA,NA,NA,NA,NA,1.52380952380952,NA
1890,NA,NA,NA,0.358823529411765,0.503896103896104,NA,NA,NA,NA,NA,NA,NA,NA,1.03846153846154,NA
1891,NA,NA,NA,0.4,0.690909090909091,NA,NA,NA,NA,NA,NA,NA,NA,0.70817843866171,NA
1892,NA,NA,NA,0.602941176470588,0.903061224489796,NA,NA,NA,NA,NA,NA,NA,NA,0.629432624113475,NA
1893,NA,NA,NA,0.85,1.16581632653061,NA,NA,NA,NA,NA,NA,NA,NA,0.323529411764706,NA
1894,NA,NA,NA,0.725130890052356,0.997907949790795,NA,NA,NA,NA,NA,NA,NA,0.313199105145414,NA,NA
1895,NA,NA,NA,0.725130890052356,0.7984934086629,NA,NA,NA,NA,NA,NA,NA,0.533834586466166,NA,0.262857142857143
1896,NA,NA,NA,0.643391521197007,0.768518518518518,NA,NA,NA,NA,NA,NA,NA,0.345054945054945,NA,NA
1897,NA,NA,NA,0.554245283018868,0.768518518518518,0.366083445491252,NA,NA,0.431623931623932,NA,0.330434782608696,NA,0.353982300884956,NA,NA
1898,NA,NA,NA,0.470982142857143,0.749084249084249,0.485754985754986,NA,NA,0.510683760683761,NA,0.471641791044776,NA,NA,NA,0.262759924385633
1899,NA,NA,NA,0.397777777777778,0.265822784810127,0.467236467236467,NA,NA,0.510683760683761,NA,0.704268292682927,NA,NA,NA,NA
1900,NA,NA,NA,0.305194805194805,NA,0.467236467236467,NA,NA,0.510683760683761,NA,0.951219512195122,NA,NA,NA,NA
1901,NA,NA,NA,NA,NA,0.467236467236467,NA,NA,0.507462686567164,NA,0.963414634146341,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,0.467236467236467,NA,NA,0.402985074626866,NA,0.963414634146341,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,0.313775510204082,NA,NA,NA,NA,0.945619335347432,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809248554913295,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651715039577836,NA,NA,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475961538461539,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,0.383771929824561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,NA,0.471491228070175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,NA,0.511261261261261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,NA,0.421171171171171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,NA,0.351769911504425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,NA,NA,0.290322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,0.293906810035842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,0.265232974910394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,0.257294429708223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,0.267379679144385,0.40096618357488,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA
1925,NA,NA,NA,0.257294429708223,0.481927710843373,NA,NA,NA,NA,0.531806615776081,NA,NA,NA,NA,NA
1926,NA,NA,NA,0.253968253968254,0.481927710843373,NA,NA,NA,NA,0.743386243386243,NA,NA,NA,NA,NA
1927,NA,NA,NA,0.251322751322751,0.572890025575448,NA,NA,0.354700854700855,NA,0.752659574468085,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,0.576923076923077,NA,NA,0.650224215246637,NA,0.752659574468085,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,0.51207729468599,NA,NA,0.650224215246637,NA,0.752659574468085,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,0.483412322274881,NA,NA,0.650224215246637,NA,0.704787234042553,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,0.483412322274881,NA,NA,0.650224215246637,NA,0.705263157894737,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,0.322072072072072,NA,NA,0.650224215246637,NA,0.634271099744246,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,0.493775933609958,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,0.363636363636364,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,0.274131274131274,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,0.369109947643979,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,0.53185595567867,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,0.53133514986376,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,0.449591280653951,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,0.326975476839237,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,0.305177111716621,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297385620915033,NA,NA,NA,NA,NA
1959,NA,NA,0.265486725663717,0.251184834123223,NA,NA,NA,NA,NA,NA,0.252808988764045,NA,NA,0.324,0.346153846153846
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.670940170940171
1961,NA,NA,NA,0.286363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467680608365019,0.867521367521368
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494296577946768,0.871794871794872
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439560439560439,0.917695473251029
1964,NA,NA,0.397683397683398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446886446886447,1.14592274678112
1965,NA,0.325062034739454,0.448,NA,NA,NA,NA,0.267175572519084,NA,NA,NA,NA,0.262008733624454,0.446886446886447,1.24034334763949
1966,NA,0.416873449131514,0.430830039525692,NA,NA,NA,NA,0.328,NA,NA,NA,NA,0.369668246445498,0.312292358803987,1.30901287553648
1967,NA,0.343529411764706,0.430830039525692,NA,NA,NA,NA,0.296875,NA,NA,NA,NA,0.459595959595959,0.27831715210356,1.1015625
1968,0.325,0.347319347319348,0.340740740740741,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384976525821596,NA,0.929328621908127
1969,0.344444444444445,0.347319347319348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384976525821596,NA,0.806349206349206
1970,0.344444444444445,0.295258620689655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309859154929578,NA,0.455242966751918
1971,0.277777777777778,0.367768595041322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389016018306636
1972,0.253405994550409,0.600806451612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.440639269406393
1973,NA,0.581673306772908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302575107296137
1974,NA,0.5357833655706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,0.48689138576779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,0.31523642732049,NA,NA,NA,NA,NA,NA,NA,0.288888888888889,NA,NA,NA,NA,NA
1977,NA,0.31523642732049,NA,NA,NA,NA,NA,NA,NA,0.413114754098361,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416393442622951,NA,NA,NA,0.278481012658228,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504918032786885,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551612903225806,0.271929824561404,NA,NA,NA,NA
1981,NA,NA,0.287974683544304,NA,NA,NA,NA,NA,NA,0.564516129032258,0.285087719298246,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421828908554573,0.342105263157895,NA,NA,NA,NA
1983,NA,NA,0.283216783216783,NA,NA,NA,NA,NA,NA,0.258485639686684,0.262711864406779,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,0.329501915708812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,0.329501915708812,NA,NA,NA,NA,NA,NA,NA,0.300847457627119,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.300847457627119,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,0.439490445859872,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,0.333333333333333,NA,0.528662420382165,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,0.333333333333333,NA,0.481481481481481,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,0.454545454545454,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,0.273542600896861,NA,0.522012578616352,NA,NA,NA,NA,NA,NA,0.31021897810219
1999,0.276595744680851,NA,NA,NA,NA,NA,0.30625,0.758169934640523,NA,NA,0.263513513513514,NA,0.254826254826255,NA,0.404669260700389
2000,0.269922879177378,NA,NA,NA,NA,NA,0.39375,0.888888888888889,NA,NA,0.263513513513514,NA,NA,NA,0.404669260700389
2001,0.289340101522843,NA,0.31974921630094,NA,NA,0.384615384615385,0.487012987012987,0.974683544303797,NA,NA,0.408783783783784,NA,0.316602316602317,NA,0.431906614785992
2002,0.33248730964467,NA,NA,NA,0.372413793103448,0.389010989010989,0.506493506493506,1.09433962264151,NA,NA,0.408783783783784,NA,0.266409266409267,NA,0.280155642023346
2003,0.347715736040609,NA,NA,NA,0.406896551724138,0.404661016949153,0.537974683544304,0.698979591836735,NA,NA,0.478547854785478,NA,NA,NA,0.280155642023346
2004,NA,NA,NA,NA,0.482758620689655,NA,0.481707317073171,0.455752212389381,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,0.397435897435897,NA,0.409090909090909,0.4375,NA,NA,0.310975609756097,NA,NA,NA,NA
2006,NA,NA,NA,NA,0.298245614035087,NA,0.467455621301775,0.4375,NA,0.257309941520468,0.350769230769231,NA,NA,NA,NA
