"year","total_tree","n_pos","n_neg","per_pos","per_neg","site","site_sorted"
1846,1,NA,1,NA,100,"gc_caL","2_caL"
1847,1,NA,1,NA,100,"gc_caL","2_caL"
1848,1,NA,1,NA,100,"gc_caL","2_caL"
1849,1,NA,1,NA,100,"gc_caL","2_caL"
1850,1,NA,1,NA,100,"gc_caL","2_caL"
1851,1,NA,1,NA,100,"gc_caL","2_caL"
1852,1,NA,1,NA,100,"gc_caL","2_caL"
1853,1,NA,1,NA,100,"gc_caL","2_caL"
1854,1,NA,1,NA,100,"gc_caL","2_caL"
1855,1,NA,1,NA,100,"gc_caL","2_caL"
1856,1,NA,1,NA,100,"gc_caL","2_caL"
1857,1,NA,1,NA,100,"gc_caL","2_caL"
1858,1,NA,1,NA,100,"gc_caL","2_caL"
1859,1,NA,1,NA,100,"gc_caL","2_caL"
1860,1,NA,NA,NA,NA,"gc_caL","2_caL"
1861,3,NA,2,NA,66.67,"gc_caL","2_caL"
1862,3,NA,2,NA,66.67,"gc_caL","2_caL"
1863,3,NA,2,NA,66.67,"gc_caL","2_caL"
1864,3,NA,2,NA,66.67,"gc_caL","2_caL"
1865,3,NA,2,NA,66.67,"gc_caL","2_caL"
1866,3,NA,1,NA,33.33,"gc_caL","2_caL"
1867,3,NA,1,NA,33.33,"gc_caL","2_caL"
1868,3,NA,1,NA,33.33,"gc_caL","2_caL"
1869,3,NA,1,NA,33.33,"gc_caL","2_caL"
1870,5,NA,2,NA,40,"gc_caL","2_caL"
1871,5,NA,2,NA,40,"gc_caL","2_caL"
1872,6,NA,3,NA,50,"gc_caL","2_caL"
1873,7,NA,5,NA,71.43,"gc_caL","2_caL"
1874,8,1,5,12.5,62.5,"gc_caL","2_caL"
1875,8,NA,5,NA,62.5,"gc_caL","2_caL"
1876,9,1,7,11.11,77.78,"gc_caL","2_caL"
1877,11,NA,9,NA,81.82,"gc_caL","2_caL"
1878,12,NA,10,NA,83.33,"gc_caL","2_caL"
1879,12,NA,9,NA,75,"gc_caL","2_caL"
1880,12,NA,10,NA,83.33,"gc_caL","2_caL"
1881,12,NA,10,NA,83.33,"gc_caL","2_caL"
1882,12,NA,9,NA,75,"gc_caL","2_caL"
1883,12,NA,9,NA,75,"gc_caL","2_caL"
1884,12,NA,7,NA,58.33,"gc_caL","2_caL"
1885,12,NA,8,NA,66.67,"gc_caL","2_caL"
1886,13,NA,8,NA,61.54,"gc_caL","2_caL"
1887,14,1,8,7.14,57.14,"gc_caL","2_caL"
1888,14,2,6,14.29,42.86,"gc_caL","2_caL"
1889,14,3,6,21.43,42.86,"gc_caL","2_caL"
