"id","varname","month","coef","significant","ci_lower","ci_upper","site","sig","month_name"
1,"tmean","Mar",0.0109781591076666,FALSE,-0.231666682002733,0.238253391327995,"SJ","","Mar"
2,"tmean","Apr",-0.0179454197335538,FALSE,-0.248555378923547,0.202832914587531,"SJ","","Apr"
3,"tmean","May",0.00387008426308608,FALSE,-0.204520668556693,0.218320391910901,"SJ","","May"
4,"tmean","Jun",0.0571325232444966,FALSE,-0.239151777924476,0.310995214333156,"SJ","","Jun"
5,"tmean","Jul",-0.169185139807907,FALSE,-0.466792721358216,0.158868696305135,"SJ","","Jul"
6,"tmean","Aug",-0.174950590342625,FALSE,-0.432781210298399,0.122206195587956,"SJ","","Aug"
7,"tmean","Sep",-0.164413344167257,FALSE,-0.372366845250356,0.0864264381137955,"SJ","","Sep"
8,"tmean","Oct",0.0570597077023959,FALSE,-0.192134702820607,0.290191426990776,"SJ","","Oct"
9,"tmean","Nov",-0.0660730805203206,FALSE,-0.301813584732375,0.184769346835801,"SJ","","Nov"
10,"tmean","Dec",0.0454260531352452,FALSE,-0.168783273687261,0.258838638447039,"SJ","","Dec"
11,"tmean","JAN",0.0136224012088627,FALSE,-0.220448634940682,0.24636376313566,"SJ","","JAN"
12,"tmean","FEB",0.099577953048971,FALSE,-0.107114283864676,0.289252102790101,"SJ","","FEB"
13,"tmean","MAR",0.00427643053836599,FALSE,-0.216650297404997,0.208456841440851,"SJ","","MAR"
14,"tmean","APR",0.0370051695636592,FALSE,-0.218082829609058,0.25350519182738,"SJ","","APR"
15,"tmean","MAY",-0.151472448520664,FALSE,-0.38964834026123,0.0845402222859173,"SJ","","MAY"
16,"tmean","JUN",-0.0733522732897779,FALSE,-0.376184456409278,0.221818750976673,"SJ","","JUN"
17,"tmean","JUL",-0.182976114864665,FALSE,-0.381243925140215,0.0415614620207705,"SJ","","JUL"
18,"tmean","AUG",0.014595368231684,FALSE,-0.222019213269185,0.243703195004853,"SJ","","AUG"
19,"tmean","SEP",0.317846606786266,TRUE,0.0753824695309561,0.516200032959516,"SJ","*","SEP"
20,"tmean.mean","sep...AUG",-0.0193467313392746,FALSE,-0.264026254107812,0.206728827264493,"SJ","","Hydrol"
